trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,13,9.231322530205807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-28.591421580240475,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-87.59647888509672,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-115.34673876762058,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",35,18,-65.50800590150378,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,0,-28.36364687512487,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-96.15546963445519,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",30,0,-36.88807694654893,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-199.60545759722237,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-116.60446492015477,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,1,-118.88741636766063,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,1,-69.59314594893095,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-128.0783942702412,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,0,-197.32804096626896,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",30,0,-173.80787204560605,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-134.99421390234681,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",30,1,-102.84660261269109,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",25,0,-61.37137094929204,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-115.3701086548717,"{0: 13, 1: 7, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,0,-158.5891651638147,"{0: 12, 1: 5, 2: 3, 3: 4, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",30,0,-153.2575398960928,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,0,-165.0273492519497,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",25,0,-169.30069014615253,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",30,0,-50.800970837222536,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",30,0,-147.44763069476693,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-60.81002099664476,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-171.2918809502149,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",30,14,-21.51790987691397,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-54.08341120934492,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,7,-54.79480489048995,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",20,0,-69.28758762269827,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,6,-83.94479150134134,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",30,7,-16.667383874931375,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",30,0,-154.03847510251995,"{0: 18, 1: 2, 2: 5, 3: 4, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,13,2.4289228820869795,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,5,-15.025211990437402,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,11,-12.824070791724171,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",30,0,-39.89371771754584,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,10,-7.7148176934982065,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,-36.7183677954359,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,14,0.7469123482093054,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-145.9781465680449,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-109.46923818941352,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,-95.50849131945583,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,15,6.703251772629068,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-97.00276565728683,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-79.59461520070641,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,0,0.7445743219775771,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",20,0,-82.12390982532332,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,0,-162.15174855853544,"{0: 14, 1: 4, 2: 2, 3: 3, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",25,0,-153.06608592463357,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,0,-191.05600129128834,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",30,0,-148.47653756898245,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,11,-67.90905098353218,"{0: 7, 1: 0, 2: 6, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",35,11,-138.9964414939158,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,1,-100.07647361262094,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",25,4,-2.498082191365516,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",20,9,8.570763396629138,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",30,0,-35.73696144511742,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-36.348075216741,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,13,-9.299147494465934,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,0,-22.382632851112888,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,1,1.60679560018517,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,0,-50.92362708539968,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,11,-28.30136512364753,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",30,0,23.37025685918643,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,3,3.3729875817630086,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,0,-3.100500264875686,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,7,-27.051142591355454,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",35,0,-98.72781127753112,"{0: 27, 1: 2, 2: 3, 3: 1, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,20,-8.590127443852161,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,1,-29.727264501285457,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,0,-84.20612855287497,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.475340042005707}",30,0,-93.29885079283606,"{0: 24, 1: 0, 2: 2, 3: 3, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",20,0,-27.671560854829867,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",25,0,14.590955471422786,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",20,0,-96.18546940963746,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",20,8,-3.387223369590701,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",25,16,-26.920733520150293,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,5,-3.7336780273853027,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",20,0,-68.30389432632087,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",25,9,-43.20543510346038,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",30,2,16.899063000043807,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",20,0,-3.752253401192755,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",20,2,-59.693099209381025,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",25,0,-97.21977424216627,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",30,18,10.101028080452998,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",25,3,-62.37371387814603,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",25,0,-93.5112095405547,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
